[11/Mar/2025 20:04:39] {'latitude': 38.8807, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Mar/2025 20:04:39] {'latitude': 38.8807, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Mar/2025 20:04:41] {'latitude': 38.8807, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Mar/2025 20:04:41] {'latitude': 38.8807, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Mar/2025 20:04:42] {'latitude': 38.8807, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Mar/2025 20:04:43] {'latitude': 38.8807, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Mar/2025 20:04:43] {'latitude': 38.8807, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Mar/2025 20:04:44] {'latitude': 38.8807, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Mar/2025 20:04:45] {'latitude': 38.8807, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Mar/2025 20:04:46] {'latitude': 38.8807, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Mar/2025 20:04:46] {'latitude': 38.8807, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Mar/2025 20:04:48] {'latitude': 38.8808, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Mar/2025 20:04:48] {'latitude': 38.8808, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
